"STATION","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08","WT13","WT14","WT16","WT18","WT19","WT22"
"USW00094728","2014-11-02","10.74",,"0.00","0.0","0.0",,"48","41",,"  350","   20","21.0","36.0",,,,,,,,,,,,
"USW00094728","2014-11-03","5.82",,"0.00","0.0","0.0",,"61","39",,"  280","  260","16.1","25.9",,,,,,,,,,,,
"USW00094728","2014-11-04","4.70",,"0.00","0.0","0.0",,"68","53",,"  230","  240","13.0","21.9",,,,,,,,,,,,
"USW00094728","2014-11-05","4.47",,"0.00","0.0","0.0",,"64","56",,"  290","  240","14.1","21.0",,,,,,,,,,,,
"USW00094728","2014-11-06","3.13",,"0.37","0.0","0.0",,"57","48",,"   70","  240","8.9","15.0","    1",,,,,"    1",,,,,,
"USW00094728","2014-11-07","7.38",,"0.00","0.0","0.0",,"53","40",,"  310","  310","17.0","31.1","    1",,,,,,,,,,,
"USW00094728","2014-11-08","6.04",,"0.00","0.0","0.0",,"48","36",,"  280","  280","16.1","21.9",,,,,,,,,,,,
"USW00094728","2014-11-09","2.68",,"0.00","0.0","0.0",,"57","46",,"  250","  250","14.1","21.9",,,,,,,,,,,,
"USW00094728","2014-11-10","2.46",,"0.00","0.0","0.0",,"61","44",,"  250","  180","8.9","13.0",,,,,,,,,,,,
"USW00094728","2014-11-11","3.36",,"0.00","0.0","0.0",,"64","49",,"  170","  180","10.1","19.0","    1",,,,,"    1",,,,,,
"USW00094728","2014-11-12","2.68",,"0.00","0.0","0.0",,"65","47",,"  350","  300","10.1","21.9","    1",,,,,"    1",,,,,,
"USW00094728","2014-11-13","3.58",,"0.20","0.0","0.0",,"48","36",,"  280","  280","8.9","15.0","    1",,,,,,,,,,,
"USW00094728","2014-11-14","7.16",,"0.06","0.0","0.0",,"42","35",,"  300","  300","14.1","23.9","    1",,,,,,,,,,,
"USW00094728","2014-11-15","3.58",,"0.00","0.0","0.0",,"42","33",,"  300","  290","12.1","19.9",,,,,,,,,,,,
"USW00094728","2014-11-16","3.80",,"0.03","0.0","0.0",,"45","35",,"  260","  250","10.1","18.1",,,,,,,,,,,,
"USW00094728","2014-11-17","3.80",,"1.54","0.0","0.0",,"52","40",,"  280","  290","14.1","21.9","    1",,,,,,,,,,,
"USW00094728","2014-11-18","10.07",,"0.00","0.0","0.0",,"45","24",,"  280","  290","21.9","33.1",,,,,,,,,,,,
"USW00094728","2014-11-19","7.16",,"0.00","0.0","0.0",,"36","22",,"  250","  250","16.1","25.1",,,,,,,,,,,,
"USW00094728","2014-11-20","7.16",,"0.00","0.0","0.0",,"45","31",,"  290","  270","17.0","28.0",,,,,,,,,,,,
"USW00094728","2014-11-21","7.61",,"0.00","0.0","0.0",,"37","28",,"  290","  320","17.0","25.9",,,,,,,,,,,,
"USW00094728","2014-11-22","4.92",,"0.00","0.0","0.0",,"44","28",,"  240","  260","15.0","25.9",,,,,,,,,,,,
"USW00094728","2014-11-23","3.80",,"0.00","0.0","0.0",,"57","43",,"  260","  240","14.1","23.0",,,,,,,,,,,,
"USW00094728","2014-11-24","5.37",,"0.70","0.0","0.0",,"69","53",,"  180","  170","17.0","32.0","    1",,,,,"    1",,,,,,
"USW00094728","2014-11-25","5.14",,"0.00","0.0","0.0",,"68","51",,"  280","  270","14.1","23.0",,,,,,,,,,,,
"USW00094728","2014-11-26","8.72",,"1.24","0.2","0.0",,"51","34",,"   40","   30","18.1","34.0","    1",,,,,,,,,,,
"USW00094728","2014-11-27","5.14",,"0.02","0.0","0.0",,"38","34",,"  310","  290","12.1","19.9","    1",,,,,"    1",,,,,,
"USW00094728","2014-11-28","5.82",,"0.00","0.0","0.0",,"37","29",,"  310","  290","17.0","25.1",,,,,,,,,,,,
"USW00094728","2014-11-29","3.58",,"0.00","0.0","0.0",,"45","27",,"  260","  260","10.1","16.1",,,,,,,,,,,,
"USW00094728","2014-11-30","4.25",,"0.00","0.0","0.0",,"55","45",,"  250","  250","13.0","23.0",,,,,,,,,,,,
"USW00094728","2014-12-01","6.71",,"0.09","0.0","0.0",,"65","42",,"  250","  250","14.1","23.0",,,,,,,,,,,,
"USW00094728","2014-12-02","9.17",,"0.08","0.0","0.0",,"43","35",,"   60","   60","17.0","25.9","    1",,,,,"    1",,,,,,
"USW00094728","2014-12-03","7.61",,"0.06","0.0","0.0",,"46","41",,"  280","  300","16.1","25.9","    1",,,,,"    1",,,,,,
"USW00094728","2014-12-04","5.82",,"0.00","0.0","0.0",,"45","37",,"  280","  280","13.0","19.9",,,,,,,,,,,,
"USW00094728","2014-12-05","6.04",,"0.51","0.0","0.0",,"44","34",,"   60","   60","17.0","21.0","    1",,,,,"    1",,,,,,
"USW00094728","2014-12-06","4.03",,"1.22","0.0","0.0",,"50","39",,"   10","   20","17.0","30.0","    1",,,,,"    1",,,,,,
"USW00094728","2014-12-07","11.86",,"0.04","0.0","0.0",,"42","30",,"   30","   10","25.1","40.0",,,,,,,,,,,,
"USW00094728","2014-12-08","11.41",,"0.00","0.0","0.0",,"37","24",,"   70","   70","19.9","29.1",,,,,,,,,,,,
"USW00094728","2014-12-09","10.29",,"2.54","0.0","0.0",,"42","36",,"   50","   60","21.9","32.0","    1",,,,,,,,,,,
"USW00094728","2014-12-10","8.28",,"0.08","1.0","0.0",,"40","32",,"  290","  310","16.1","23.9","    1",,,,,"    1",,,,,,
"USW00094728","2014-12-11","7.61",,"0.01","0.0","1.2",,"38","31",,"  270","  260","17.0","25.1",,,,,,"    1",,,,,,
"USW00094728","2014-12-12","8.05",,"0.00","0.0","0.0",,"38","32",,"  300","  300","15.0","25.1",,,,,,,,,,,,
"USW00094728","2014-12-13","8.95",,"0.00","0.0","0.0",,"44","34",,"  300","  300","16.1","28.0",,,,,,,,,,,,
"USW00094728","2014-12-14","6.04",,"0.00","0.0","0.0",,"46","38",,"  310","  300","13.0","19.9",,,,,,,,,,,,
"USW00094728","2014-12-15","2.68",,"0.00","0.0","0.0",,"48","37",,"  250","  300","8.1","12.1",,,,,,,,,,,,
